set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
DTP-IPV  2  5     0            0
DTP-IPV  2  6     0            0
DTP-IPV  2  7     0            0
DTP-IPV  3  1     0            0
DTP-IPV  3  2     0            0
DTP-IPV  3  3     0            0
DTP-IPV  3  4     0            0
DTP-IPV  3  5     0            0
DTP-IPV  3  6     0            0
DTP-IPV  3  7     0            0
DTP-IPV  4  1     0            0
DTP-IPV  4  2     0            0
DTP-IPV  4  3     0            0
DTP-IPV  4  4     0            0
DTP-IPV  4  5     0            0
DTP-IPV  4  6     0            0
DTP-IPV  4  7     0            0
DTP-IPV  5  1     0            0
DTP-IPV  5  2     0            0
DTP-IPV  5  3     0            0
DTP-IPV  5  4     0            0
DTP-IPV  5  5     0            0
DTP-IPV  5  6     0            0
DTP-IPV  5  7     0            0
DTP-IPV  6  1     0            0
DTP-IPV  6  2     0            0
DTP-IPV  6  3     0            0
DTP-IPV  6  4     0            0
DTP-IPV  6  5     0            0
DTP-IPV  6  6     0            0
DTP-IPV  6  7     0            0
DTP-IPV  7  1     0            0
DTP-IPV  7  2     0            0
DTP-IPV  7  3     0            0
DTP-IPV  7  4     0            0
DTP-IPV  7  5     0            0
DTP-IPV  7  6     0            0
DTP-IPV  7  7     0            0
DTP-IPV  8  1     0            0
DTP-IPV  8  2     0            0
DTP-IPV  8  3     0            0
DTP-IPV  8  4     0            0
DTP-IPV  8  5     0            0
DTP-IPV  8  6     0            0
DTP-IPV  8  7     0            0
DTP-IPV  9  1     0            0
DTP-IPV  9  2     0            0
DTP-IPV  9  3     0            0
DTP-IPV  9  4     0            0
DTP-IPV  9  5     0            0
DTP-IPV  9  6     0            0
DTP-IPV  9  7     0            0
DTP-IPV  10 1     0            0
DTP-IPV  10 2     0            0
DTP-IPV  10 3     0            0
DTP-IPV  10 4     0            0
DTP-IPV  10 5     0            0
DTP-IPV  10 6     0            0
DTP-IPV  10 7     0            0
DTP-IPV  11 1     0            0
DTP-IPV  11 2     0            0
DTP-IPV  11 3     0            0
